dataset,kernel_model,state_model,accuracy_match,kernel_total_time_s,state_total_time_s,speedup
ids2012,qsvm_angle,state_svm_angle,True,2.666295019997051,0.04516678499931004,59.03220740723035
ids2012,qsvm_amplitude,state_svm_amplitude,True,3.163108603002911,0.023786663994542323,132.9782353561081
ids2012,qsvm_zz,state_svm_zz,True,29.3447559700071,0.31813208199309884,92.24079440891997
ids2012,qknn_angle,state_knn_angle,True,0.02345342300395714,0.030696231006004382,0.7640489478779822
ids2012,qknn_amplitude,state_knn_amplitude,True,0.0315614999999525,0.04158023600757588,0.7590505256921107
ids2012,qknn_zz,state_knn_zz,True,0.2157718609960284,0.23968617700302275,0.9002265532955922
ids2012,photonic_fidelity_svm_angle,photonic_state_svm_angle,False,0.5647135620019981,0.041916799993487075,13.47224888564351
ids2012,photonic_fidelity_knn_angle,photonic_state_knn_angle,True,0.14174395100417314,0.018212592003692407,7.782744541547743
url2016,qsvm_angle,state_svm_angle,True,2.6689272439980414,0.027479544005473144,97.12414599989239
url2016,qsvm_amplitude,state_svm_amplitude,True,3.287452240001585,0.024657632995513268,133.32391801758806
url2016,qsvm_zz,state_svm_zz,True,30.342882240001927,0.31825964601011947,95.3400238465581
url2016,qknn_angle,state_knn_angle,True,0.023722671008727048,0.03199948299879907,0.7413454464129109
url2016,qknn_amplitude,state_knn_amplitude,True,0.02969668600417208,0.029364343004999682,1.0113179102667413
url2016,qknn_zz,state_knn_zz,True,0.22845258100278443,0.23940178599877981,0.9542643136503117
url2016,photonic_fidelity_svm_angle,photonic_state_svm_angle,True,0.602430897000886,0.049199142995348666,12.24474371551229
url2016,photonic_fidelity_knn_angle,photonic_state_knn_angle,False,0.1684034940044512,0.011464584997156635,14.689017879514823
